time,power,energy_generation_costs,unit,heat,energy_cashflow,simulation
2019-01-01 00:00:00,-2400,0,demand_north_1,,,example_01d_base
2019-01-01 01:00:00,-2800,0,demand_north_1,,,example_01d_base
2019-01-01 02:00:00,-3200,0,demand_north_1,,,example_01d_base
2019-01-01 03:00:00,-3600,0,demand_north_1,,,example_01d_base
2019-01-01 04:00:00,-4000,0,demand_north_1,,,example_01d_base
2019-01-01 05:00:00,-4400,0,demand_north_1,,,example_01d_base
2019-01-01 06:00:00,-4800,0,demand_north_1,,,example_01d_base
2019-01-01 07:00:00,-5200,0,demand_north_1,,,example_01d_base
2019-01-01 08:00:00,-5600,0,demand_north_1,,,example_01d_base
2019-01-01 09:00:00,-6000,0,demand_north_1,,,example_01d_base
2019-01-01 10:00:00,-6400,0,demand_north_1,,,example_01d_base
2019-01-01 11:00:00,-6800,0,demand_north_1,,,example_01d_base
2019-01-01 12:00:00,-7200,0,demand_north_1,,,example_01d_base
2019-01-01 13:00:00,-7600,0,demand_north_1,,,example_01d_base
2019-01-01 14:00:00,-8000,0,demand_north_1,,,example_01d_base
2019-01-01 15:00:00,-8400,0,demand_north_1,,,example_01d_base
2019-01-01 16:00:00,-8800,0,demand_north_1,,,example_01d_base
2019-01-01 17:00:00,-9200,0,demand_north_1,,,example_01d_base
2019-01-01 18:00:00,-9600,0,demand_north_1,,,example_01d_base
2019-01-01 19:00:00,-10000,0,demand_north_1,,,example_01d_base
2019-01-01 20:00:00,-10400,0,demand_north_1,,,example_01d_base
2019-01-01 00:00:00,-2400,0,demand_north_2,,,example_01d_base
2019-01-01 01:00:00,-2800,0,demand_north_2,,,example_01d_base
2019-01-01 02:00:00,-3200,0,demand_north_2,,,example_01d_base
2019-01-01 03:00:00,-3600,0,demand_north_2,,,example_01d_base
2019-01-01 04:00:00,-4000,0,demand_north_2,,,example_01d_base
2019-01-01 05:00:00,-4400,0,demand_north_2,,,example_01d_base
2019-01-01 06:00:00,-4800,0,demand_north_2,,,example_01d_base
2019-01-01 07:00:00,-5200,0,demand_north_2,,,example_01d_base
